Date,Close,Volume,VIX_Close,RSI_14,MACD,MACD_Signal,Next_Day_Return,Target_Up,PTT_Score,PTT_Volume,Yahoo_Score,Yahoo_Volume,News_Score,News_Volume,ADR_Ret,SOX_Ret,FX_Ret,Triple_Barrier_Signal
2021-04-29,547.1420288085938,31828333,17.610000610351562,43.42117778020454,-0.0178300494737868,0.0515076170619523,-0.0200001673290106,0,1.14,1.0,0.3,7.0,1.22,8.0,0.0032076763647559,-0.0132760248041682,-0.0146081254765044,0
2021-05-03,536.1990966796875,41762441,18.309999465942383,39.75917605050012,-1.115615878741096,-0.1819170820986573,0.0051019420868503,1,0.27,2.0,0.77,6.0,1.33,3.0,-0.0006118920845618,-0.0198151663685722,-0.0291990662812255,0
2021-05-04,538.9347534179688,40273595,19.479999542236328,41.86055380314531,-1.7447618925920096,-0.4944860441973278,-0.0101524285589871,0,0.61,3.0,0.41,3.0,0.29,9.0,0.0028992165555055,-0.0068529211805783,-0.0114539151086782,0
2021-05-05,533.4632568359375,29254785,19.149999618530273,34.11758684362832,-2.6542718941176418,-0.9264432141813906,0.0034190050595737,1,0.86,1.0,0.52,3.0,1.38,6.0,0.0027830926164618,-0.0050025523226135,-0.0159660784184756,0
2021-05-06,535.2871704101562,30725590,18.38999938964844,30.00000836642954,-3.1911054632486184,-1.3793756639948362,0.0204429915354877,1,0.31,3.0,0.33,5.0,0.78,4.0,-0.0011029890401905,0.0001733814806448,0.0061401853179645,0
2021-05-07,546.2300415039062,28075722,16.690000534057617,43.3735406112861,-2.70240010436828,-1.6439805520695252,-0.016694465448258,0,0.33,3.0,1.15,1.0,1.16,5.0,-0.0002939674112609,0.0140406033146833,0.0076703940968751,0
2021-05-10,537.1110229492188,20434079,19.65999984741211,41.86054113371131,-3.016157783632366,-1.9184159983820936,-0.0305605880527412,0,-0.59,1.0,0.66,4.0,1.3,6.0,0.0022592693141363,-0.00145319119,0.0149402388059083,0
2021-05-11,520.6965942382812,59349193,21.84000015258789,34.95147145211348,-4.5370202752828845,-2.4421368537622516,-0.0192641200840267,0,1.08,2.0,0.24,7.0,1.02,4.0,-0.0069843984095601,-0.0386884934191248,-0.0465676489335621,0
2021-05-12,510.6658325195313,131741482,27.59000015258789,34.61548115135231,-6.477049996729534,-3.249119482355708,-0.0232142735487822,0,-0.91,1.0,0.33,6.0,0.91,3.0,-0.0007746834120708,0.0048080606199716,0.0029995187308646,0
2021-05-13,498.81109619140625,66765627,23.1299991607666,31.03454244787129,-8.86888073917521,-4.373071733719609,0.0182812622934831,1,0.88,1.0,0.44,5.0,0.69,4.0,0.0066963849700547,-0.041116455749013,-0.0419555401400374,1
2021-05-14,507.9299926757813,37533726,18.809999465942383,30.43478766968616,-9.914319000295905,-5.481321187034868,-0.0143623620736789,0,0.69,3.0,0.99,5.0,0.72,2.0,0.0038328026526472,0.0049902345492967,0.0150079934511071,1
2021-05-17,500.6349182128906,56270958,19.719999313354492,23.478256061614445,-11.202354130688832,-6.6255277757656605,0.0418940060549333,1,0.4,1.0,0.26,1.0,0.0,0.0,-0.0031044780426563,0.034114813721475,0.0302286786318866,1
2021-05-18,521.6085205078125,43689316,21.34000015258789,36.23181200892424,-10.410728432903852,-7.382567907193299,-0.0087408966545183,0,0.76,2.0,1.27,5.0,0.56,4.0,0.0008196881361783,-0.0236529056658065,-0.0089856644701199,0
2021-05-19,517.0491943359375,28908777,22.18000030517578,37.037041627705655,-10.03557502033982,-7.913169329822604,0.0,0,0.0,0.0,0.73,4.0,0.69,7.0,0.0033726628756043,0.0094717742742147,-0.0086237469596346,1
2021-05-20,517.0491943359375,29709287,20.670000076293945,37.593931043090016,-9.627285879210376,-8.255992639700159,0.0105816864262464,1,0.14,1.0,0.0,0.0,0.85,1.0,-0.0031617135149246,0.0140746514559584,0.0198453916293639,1
2021-05-21,522.5204467773438,27376731,20.149999618530273,44.09440996538508,-8.761235378678066,-8.35704118749574,-0.0087258752653757,0,-0.1,2.0,0.34,1.0,0.26,2.0,-0.0026675804134449,0.0078288731816349,0.0263885800299594,1
2021-05-24,517.9609985351562,15629736,18.399999618530273,41.0852272756753,-8.346579314917904,-8.354948812980174,0.0264082949016606,1,0.0,0.0,1.18,2.0,1.63,1.0,0.0021369274856142,-0.0126235607898231,-0.0045693107144821,1
2021-05-25,531.6394653320312,33039911,18.84000015258789,49.27536337322097,-6.8354288730198505,-8.051044824988109,0.0034305043602569,1,1.18,1.0,1.46,2.0,0.77,7.0,-5.370506244251061e-05,0.0159143822155189,0.023223315272959,1
2021-05-26,533.4632568359375,18703987,17.360000610351562,49.275314168756275,-5.428094829933116,-7.526454825977111,-0.005128221556745,0,0.98,3.0,1.14,3.0,0.96,6.0,0.0022684271317261,0.0057202869619299,0.0037432008784428,1
2021-05-27,530.7275390625,62169719,16.739999771118164,43.41073426159795,-4.4818579538296035,-6.91753545154761,0.0137458253981397,1,0.66,1.0,0.31,1.0,0.82,3.0,-0.0068505467411882,0.0150507053930171,0.0020129898046732,1
2021-05-28,538.0228271484375,29086873,16.760000228881836,50.393661156798295,-3.107468668501838,-6.155522094938456,0.0118644813831385,1,0.43,1.0,0.54,2.0,1.25,5.0,-0.0054815749453206,-0.001982922003853,0.0058230358602191,0
2021-06-01,545.3181762695312,17818326,17.899999618530273,67.92468616076474,-0.1260058886695105,-4.202501902492532,-0.0050168487456423,0,-0.76,1.0,0.7,3.0,0.67,5.0,-0.0060099979469249,-0.001982922003853,0.0058230358602191,0
2021-06-02,542.5823974609375,21872755,17.479999542236328,75.00017430251107,0.722746002431677,-3.2174523215076904,0.0016807148071862,1,0.69,1.0,0.53,2.0,0.67,5.0,-0.0037400467583533,-0.001982922003853,0.0058230358602191,0
2021-06-03,543.4943237304688,21077164,18.040000915527344,72.41401727155579,1.4522323887277937,-2.2835153794605936,-0.001677894744644,0,0.14,1.0,0.2,2.0,0.95,6.0,0.0023658256413328,0.0037127960635394,0.0071385089157334,0
2021-06-04,542.5823974609375,15756180,16.420000076293945,78.7501040582944,1.934471394795196,-1.439918024609436,-0.0050422569116739,0,0.0,0.0,1.4,1.0,0.99,1.0,-0.0013704629347449,-0.0179067557308879,-0.0180764469641835,0
2021-06-07,539.8465576171875,17077625,16.420000076293945,66.66666666666666,2.0720050855768477,-0.7375334025721791,-0.0050672448112719,0,1.1,1.0,0.82,3.0,0.0,0.0,0.0028971699929969,0.0230270498477127,0.0238755706315432,1
2021-06-08,537.1110229492188,13396324,17.06999969482422,68.96550132420909,1.937927518396009,-0.2024412183785415,-0.0050933934634518,0,0.97,1.0,0.68,1.0,-0.45,2.0,-0.0031784540407753,-0.0107943879697224,-0.0069940890005003,1
2021-06-09,534.3753051757812,20023490,17.889999389648438,65.57374171171755,1.5925624508615783,0.1565595154694824,0.0221842892313772,1,0.0,0.0,0.85,2.0,1.34,2.0,0.0031522926766149,-0.0194549667298213,-0.006404172740554,1
2021-06-10,546.2300415039062,28527745,16.100000381469727,69.1177049580497,2.249505396195218,0.5751486916146297,0.0050081385044169,1,0.0,0.0,1.11,1.0,1.41,2.0,-0.0012996551722471,0.0104379389437812,-0.0040173782809365,0
2021-06-11,548.9656372070312,24227710,15.649999618530272,75.75749278457573,2.9567930545127865,1.051477564194261,0.0116282030314245,1,0.83,1.0,0.78,1.0,1.22,3.0,0.0069815143394595,0.0094770141468061,0.0119456133019879,0
