Date,Yahoo_Score,Yahoo_Volume
2023-12-12,0.62,2
2023-12-13,0.97,3
2023-12-14,1.21,6
2023-12-15,0.99,3
2023-12-17,1.05,1
2023-12-18,0.98,5
2023-12-19,0.84,6
2023-12-20,0.98,5
2023-12-21,1.01,5
2023-12-22,1.2,1
2023-12-24,1.39,2
2023-12-25,1.49,4
2023-12-26,0.82,6
2023-12-27,1.36,5
2023-12-28,1.13,5
2023-12-29,1.75,3
2023-12-31,0.37,1
2024-01-01,1.45,4
2021-09-28,1.4,2
2024-01-01,1.64,3
2024-01-02,0.91,4
2024-01-03,1.22,5
2024-01-07,1.02,2
2024-01-08,1.1,3
2024-01-09,1.13,1
2024-01-10,1.62,2
2024-01-11,0.07,3
2024-01-13,1.77,1
2024-01-14,1.31,5
2024-01-15,1.16,4
2024-01-16,0.8,3
2024-01-17,0.94,5
2024-01-18,1.17,7
2024-01-19,0.78,3
2024-01-20,0.93,1
2024-01-21,1.17,9
2024-01-22,1.54,4
2024-01-23,0.19,4
2024-01-24,0.9,6
2024-01-25,1.34,2
2024-01-26,0.97,3
2024-01-28,0.64,3
2024-01-29,1.21,4
2024-01-30,0.18,3
2024-01-31,1.12,4
