Date,News_Score,News_Volume
2023-05-10,0.9,3
2023-05-11,-0.06,2
2023-05-12,0.47,3
2023-05-13,-2.31,1
2023-05-14,0.78,3
2023-05-15,0.96,2
2023-05-16,1.16,4
2023-05-17,0.27,2
2023-05-18,0.72,5
2023-05-19,1.18,6
2023-05-20,0.62,1
2023-05-21,0.42,1
2023-05-22,0.76,4
2023-05-23,0.54,2
2023-05-24,0.71,6
2023-05-25,0.95,5
2023-05-26,0.69,1
2023-05-27,1.59,3
2023-05-29,1.16,6
2023-05-30,1.21,5
2023-05-31,1.11,7
2023-06-01,1.28,5
2026-01-07,1.77,1
2023-06-01,1.24,4
2023-06-02,1.06,3
2023-06-04,1.48,1
2023-06-05,0.9,3
2023-06-06,1.5,3
2023-06-07,1.44,4
2023-06-08,1.36,3
2023-06-09,1.04,7
2023-06-10,1.35,2
2023-06-11,1.11,3
2023-06-12,1.12,3
2023-06-13,1.05,6
2023-06-14,1.28,7
2023-06-15,1.62,6
2023-06-16,1.22,4
2023-06-17,0.97,2
2023-06-18,1.48,2
2023-06-19,0.95,2
2023-06-21,0.12,6
2023-06-24,0.2,1
2023-06-26,1.32,5
2023-06-27,0.31,2
2023-06-28,0.79,11
2023-06-29,0.9,4
2023-06-30,0.68,4
2024-09-30,0.78,1
2026-03-19,-0.03,1
2023-07-02,1.42,2
2023-07-04,0.74,3
2023-07-05,0.84,4
2023-07-07,-0.42,5
2023-07-09,1.4,2
2023-07-10,0.75,7
2023-07-11,1.02,5
2023-07-12,1.05,7
2023-07-13,0.01,1
2023-07-14,0.74,2
2023-07-16,0.99,3
2023-07-18,0.78,4
2023-07-19,0.79,3
2023-07-20,0.92,9
2023-07-21,0.82,4
2023-07-22,0.42,2
2023-07-24,0.76,5
2023-07-25,1.12,6
2023-07-26,1.02,4
2023-07-27,1.36,6
2023-07-28,0.57,3
2023-07-30,1.12,1
2023-07-31,1.16,4
2023-08-01,1.4,3
2025-03-20,0.35,1
2025-06-11,1.31,1
2025-07-10,-0.08,1
2025-09-22,0.09,1
2025-10-28,1.18,1
2023-08-01,1.4,3
2023-08-02,1.67,1
2023-08-03,0.7,5
2023-08-04,0.71,3
2023-08-05,0.62,1
2023-08-06,1.2,2
2023-08-07,1.33,3
2023-08-08,0.49,2
2023-08-09,0.84,3
2023-08-10,0.25,6
2023-08-11,1.14,6
2023-08-13,0.58,1
2023-08-14,0.12,2
2023-08-15,0.32,6
2023-08-16,0.92,2
2023-08-17,-0.11,3
2023-08-18,0.12,2
2023-08-19,1.22,2
2023-08-20,0.82,1
2023-08-21,0.76,8
2023-08-23,0.87,5
2023-08-24,1.08,3
2023-08-25,1.01,5
2023-08-26,0.04,3
2023-08-27,0.73,1
2023-08-28,0.64,2
2023-08-29,0.68,6
2023-08-30,1.39,2
2023-08-31,1.64,2
2023-09-01,1.56,2
2023-09-22,0.46,1
2024-10-09,0.08,1
2025-04-14,0.04,1
2025-06-30,0.81,1
2025-08-22,1.35,1
2025-12-31,0.42,1
2026-02-23,0.61,1
2023-09-01,1.56,2
2023-09-02,0.92,2
2023-09-04,1.23,3
2023-09-05,1.38,3
2023-09-06,1.28,1
2023-09-07,0.69,3
2023-09-08,1.13,6
2023-09-09,1.52,1
2023-09-10,1.63,1
2023-09-11,0.34,2
2023-09-12,0.99,6
2023-09-13,1.24,4
2023-09-14,1.15,8
2023-09-15,0.96,1
2023-09-16,1.32,2
2023-09-17,0.92,2
2023-09-18,0.59,4
2023-09-19,0.96,6
2023-09-20,0.93,6
2023-09-21,0.96,1
2023-09-22,0.98,8
2023-09-23,0.19,1
2023-09-24,1.1,1
2023-09-25,0.68,2
2023-09-26,1.02,5
2023-09-27,1.06,3
2023-09-28,1.07,6
2023-09-29,0.63,3
2023-10-01,1.35,1
2024-02-23,0.42,1
2025-04-28,0.53,1
2025-10-01,1.4,1
2025-10-18,0.58,1
2025-10-30,0.76,1
2026-03-17,0.41,1
2023-10-01,1.35,1
2023-10-02,1.18,8
2023-10-03,0.66,3
2023-10-04,0.49,6
2023-10-05,1.38,2
2023-10-06,1.66,2
2023-10-07,1.15,1
2023-10-08,0.56,2
2023-10-11,0.16,2
2023-10-12,0.85,4
2023-10-13,1.12,2
2023-10-14,0.14,1
2023-10-15,0.8,1
2023-10-16,0.81,1
2023-10-17,1.01,8
2023-10-18,0.73,5
2023-10-19,0.7,8
2023-10-20,1.18,4
2023-10-21,1.12,2
2023-10-22,1.8,2
2023-10-23,0.73,3
2023-10-25,0.96,5
2023-10-26,1.14,8
2023-10-27,0.62,6
2023-10-28,0.89,2
2023-10-29,0.6,1
2023-10-30,0.52,2
2023-10-31,1.09,3
2023-11-01,1.47,1
2023-11-02,0.76,1
2025-09-03,0.95,1
2025-10-19,1.68,1
2026-03-19,0.35,1
2023-11-01,1.47,1
2023-11-02,1.18,2
2023-11-04,1.09,3
2023-11-05,0.94,2
2023-11-06,0.32,3
2023-11-07,0.7,2
2023-11-08,0.06,2
2023-11-09,1.23,6
2023-11-10,1.05,4
2023-11-11,1.91,1
2023-11-12,1.85,1
2023-11-13,1.55,1
2023-11-14,1.2,3
2023-11-15,1.15,7
2023-11-16,1.29,6
2023-11-17,0.87,1
2023-11-18,1.29,1
2023-11-19,1.3,2
2023-11-20,0.94,5
2023-11-21,1.34,5
2023-11-22,0.84,7
2023-11-24,0.16,2
2023-11-25,1.15,1
2023-11-26,1.27,2
2023-11-27,1.43,3
2023-11-28,1.15,7
2023-11-29,1.01,6
2023-11-30,0.66,4
2023-12-01,0.73,7
2023-12-19,1.05,1
2025-05-21,-1.07,1
2026-03-20,0.25,1
2023-12-01,0.78,5
2023-12-03,1.75,1
2023-12-04,1.35,4
2023-12-05,0.66,5
2023-12-06,0.53,1
2023-12-07,1.34,6
2023-12-08,0.97,5
2023-12-09,0.75,3
2023-12-10,1.54,1
